央视频,#genre#
CCTV1,http://www.tvzb.com/iptv/tvzb82.php?id=cctv1
CCTV2,http://www.tvzb.com/iptv/tvzb82.php?id=cctv2
CCTV3,http://www.tvzb.com/iptv/tvzb82.php?id=cctv3
CCTV4,http://www.tvzb.com/iptv/tvzb82.php?id=cctv4
CCTV4k,http://www.tvzb.com/iptv/tvzb82.php?id=cctv4k
CCTV5,http://www.tvzb.com/iptv/tvzb82.php?id=cctv5
CCTV5+,http://www.tvzb.com/iptv/tvzb82.php?id=cctv5p
CCTV6,http://www.tvzb.com/iptv/tvzb82.php?id=cctv6
CCTV7,http://www.tvzb.com/iptv/tvzb82.php?id=cctv7
CCTV8,http://www.tvzb.com/iptv/tvzb82.php?id=cctv8
CCTV9,http://www.tvzb.com/iptv/tvzb82.php?id=cctv9
CCTV10,http://www.tvzb.com/iptv/tvzb82.php?id=cctv10
CCTV11,http://www.tvzb.com/iptv/tvzb82.php?id=cctv11
CCTV12,http://www.tvzb.com/iptv/tvzb82.php?id=cctv12
CCTV13,http://www.tvzb.com/iptv/tvzb82.php?id=cctv13
CCTV14,http://www.tvzb.com/iptv/tvzb82.php?id=cctv14
CCTV15,http://www.tvzb.com/iptv/tvzb82.php?id=cctv15
CCTV16,http://www.tvzb.com/iptv/tvzb82.php?id=cctv16
CCTV16,http://www.tvzb.com/iptv/tvzb82.php?id=cctv16-4k
CCTV17,http://www.tvzb.com/iptv/tvzb82.php?id=cctv17
CCTV兵器科技,http://www.tvzb.com/iptv/tvzb82.php?id=bqkj
CCTV第一剧场,http://www.tvzb.com/iptv/tvzb82.php?id=dyjc
CCTV电视指南,http://www.tvzb.com/iptv/tvzb82.php?id=dszn
CCTV风云剧场,http://www.tvzb.com/iptv/tvzb82.php?id=fyjc
CCTV风云音乐,http://www.tvzb.com/iptv/tvzb82.php?id=fyyy
CCTV风云足球,http://www.tvzb.com/iptv/tvzb82.php?id=fyzq
CCTV高尔夫网球,http://www.tvzb.com/iptv/tvzb82.php?id=gefwq
CCTV怀旧剧场,http://www.tvzb.com/iptv/tvzb82.php?id=hjjc
CCTV女性时尚,http://www.tvzb.com/iptv/tvzb82.php?id=nxss
CCTV世界地理,http://www.tvzb.com/iptv/tvzb82.php?id=sjdl
CCTV卫生健康,http://www.tvzb.com/iptv/tvzb82.php?id=wsjk
CCTV央视台球,http://www.tvzb.com/iptv/tvzb82.php?id=ystq
CCTV央视文化精品,http://www.tvzb.com/iptv/tvzb82.php?id=whjp
CGTN,http://www.tvzb.com/iptv/tvzb82.php?id=cgtn
CGTN阿语,http://www.tvzb.com/iptv/tvzb82.php?id=cgtna
CGTN俄语,http://www.tvzb.com/iptv/tvzb82.php?id=cgtnr
CGTN法语,http://www.tvzb.com/iptv/tvzb82.php?id=cgtnf
CGTN纪录,http://www.tvzb.com/iptv/tvzb82.php?id=cgtnjl
CGTN西语,http://www.tvzb.com/iptv/tvzb82.php?id=cgtne
安徽卫视,http://www.tvzb.com/iptv/tvzb82.php?id=ahws
北京卫视,http://www.tvzb.com/iptv/tvzb82.php?id=bjws
东方卫视,http://www.tvzb.com/iptv/tvzb82.php?id=dfws
东南卫视,http://www.tvzb.com/iptv/tvzb82.php?id=dnws
广东卫视,http://www.tvzb.com/iptv/tvzb82.php?id=gdws
广西卫视,http://www.tvzb.com/iptv/tvzb82.php?id=gxws
贵州卫视,http://www.tvzb.com/iptv/tvzb82.php?id=gzws
海南卫视,http://www.tvzb.com/iptv/tvzb82.php?id=hinws
河北卫视,http://www.tvzb.com/iptv/tvzb82.php?id=hbws
河南卫视,http://www.tvzb.com/iptv/tvzb82.php?id=hnws
黑龙江卫视,http://www.tvzb.com/iptv/tvzb82.php?id=hljws
湖北卫视,http://www.tvzb.com/iptv/tvzb82.php?id=hubws
湖南卫视,http://www.tvzb.com/iptv/tvzb82.php?id=hunws
江苏卫视,http://www.tvzb.com/iptv/tvzb82.php?id=jsws
江西卫视,http://www.tvzb.com/iptv/tvzb82.php?id=jxws
辽宁卫视,http://www.tvzb.com/iptv/tvzb82.php?id=lnws
山东卫视,http://www.tvzb.com/iptv/tvzb82.php?id=sdws
深圳卫视,http://www.tvzb.com/iptv/tvzb82.php?id=szws
四川卫视,http://www.tvzb.com/iptv/tvzb82.php?id=scws
浙江卫视,http://www.tvzb.com/iptv/tvzb82.php?id=zjws
重庆卫视,http://www.tvzb.com/iptv/tvzb82.php?id=cqws
广播频道,#genre#
中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
台海之声,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
神州之声,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
大湾区之声,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
民族之声,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
文艺之声,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
老年之声,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
藏语广播,http://ngcdn012.cnr.cn/live/zygb/index.m3u8
阅读之声,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
维语广播,http://ngcdn013.cnr.cn/live/wygb/index.m3u8
香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
中国乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
哈语广播,http://ngcdn025.cnr.cn/live/hygb/index.m3u8
CGTNREDIO,https://sk.cri.cn/am846.m3u8
HITFM,http://cnlive.cnr.cn/hls/HITFM.m3u8
环球资讯广播,http://cnlive.cnr.cn/hls/huanqiuzixunguangbo.m3u8
轻松调频,http://sk.cri.cn/915.m3u8
CRI南海之声,http://sk.cri.cn/nhzs.m3u8
CRI轻松调频FM91.5,http://sk.cri.cn/915.m3u8
CRI环球资讯广播FM90.5,http://sk.cri.cn/905.m3u8
英语资讯广播ChinaPlusRadio,http://cnlive.cnr.cn/hls/yyzxgb.m3u8
CRI中文环球广播,http://sk.cri.cn/hyhq.m3u8
CRI海峡飞虹,http://sk.cri.cn/hxfh.m3u8
CRI客家之声,http://sk.cri.cn/hakka.m3u8
CRI闽南之音,http://sk.cri.cn/minnan.m3u8
CRINEWSPlusAM1008,http://sk.cri.cn/am1008.m3u8
🔞🈲成人_,#genre#
精艷臺(型男),http://18.svi-studio.com:8880/live/908957700097/132663288386/1.m3u8
潘多拉完美臺(型男),http://18.svi-studio.com:8880/live/624372101145/418430465490/3.m3u8
香蕉臺(型男),http://18.svi-studio.com:8880/live/624372101145/418430465490/4.m3u8
松視1臺(型男),http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8
松視2臺(型男),http://18.svi-studio.com:8880/live/917952932058/953281067271/6.m3u8
